,city_id,city_name,sunrise,sunset,timestamp,avg_visibility_m,precipitation_probability,date_and_time,temp,felt_temp,min_temp,max_temp,pressure,pressure_sea_lvl,pressure_ground_lvl,humidity_perc,cloudiness_perc,wind_speed_m_per_sec,wind_direction_degrees,wind_gust_m_per_sec,night_or_day,outlook_id,outlook_short,outlook_long,rain_vol_last_3_hrs
0,2950159,Berlin,1659497333,1659552969,1659538800,10000,0.0,2022-08-03 15:00:00,33.28,32.5,33.17,33.28,1005,1005,1009,31,0,1.92,226,2.57,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659549600,10000,0.0,2022-08-03 18:00:00,32.31,31.17,30.38,32.31,1008,1008,1009,30,30,0.84,231,1.1,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659560400,10000,0.0,2022-08-03 21:00:00,29.04,28.16,26.92,29.04,1011,1011,1009,34,53,1.1,136,1.16,n,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659571200,10000,0.0,2022-08-04 00:00:00,24.96,24.48,24.96,24.96,1015,1015,1010,37,58,2.38,136,3.27,n,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659582000,10000,0.0,2022-08-04 03:00:00,23.72,23.19,23.72,23.72,1014,1014,1009,40,98,1.7,144,1.74,n,804,Clouds,overcast clouds,
0,2950159,Berlin,1659497333,1659552969,1659592800,10000,0.0,2022-08-04 06:00:00,25.93,25.62,25.93,25.93,1014,1014,1009,40,56,2.27,147,3.49,d,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659603600,10000,0.0,2022-08-04 09:00:00,32.24,31.09,32.24,32.24,1014,1014,1009,30,42,2.84,173,3.62,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659614400,10000,0.0,2022-08-04 12:00:00,35.93,34.42,35.93,35.93,1012,1012,1008,22,47,3.63,199,5.18,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659625200,10000,0.0,2022-08-04 15:00:00,36.81,35.16,36.81,36.81,1011,1011,1006,20,60,3.78,200,5.1,d,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659636000,10000,0.0,2022-08-04 18:00:00,33.83,32.32,33.83,33.83,1010,1010,1005,25,46,3.09,157,6.5,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659646800,10000,0.0,2022-08-04 21:00:00,30.83,29.47,30.83,30.83,1011,1011,1006,29,90,3.68,187,10.3,n,804,Clouds,overcast clouds,
0,2950159,Berlin,1659497333,1659552969,1659657600,10000,0.15,2022-08-05 00:00:00,26.22,26.22,26.22,26.22,1012,1012,1007,42,70,1.74,20,4.01,n,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659668400,10000,0.29,2022-08-05 03:00:00,22.47,22.55,22.47,22.47,1012,1012,1007,68,58,4.25,342,7.47,n,500,Rain,light rain,0.12
0,2950159,Berlin,1659497333,1659552969,1659679200,10000,0.29,2022-08-05 06:00:00,22.47,22.65,22.47,22.47,1012,1012,1007,72,79,3.64,359,5.72,d,500,Rain,light rain,0.18
0,2950159,Berlin,1659497333,1659552969,1659690000,10000,0.89,2022-08-05 09:00:00,20.92,21.18,20.92,20.92,1015,1015,1009,81,100,4.54,335,7.58,d,500,Rain,light rain,0.84
0,2950159,Berlin,1659497333,1659552969,1659700800,10000,0.94,2022-08-05 12:00:00,21.35,21.71,21.35,21.35,1014,1014,1009,83,100,3.27,306,5.29,d,501,Rain,moderate rain,3.18
0,2950159,Berlin,1659497333,1659552969,1659711600,10000,0.0,2022-08-05 15:00:00,21.56,21.7,21.56,21.56,1016,1016,1011,74,91,5.24,324,5.53,d,804,Clouds,overcast clouds,
0,2950159,Berlin,1659497333,1659552969,1659722400,10000,0.0,2022-08-05 18:00:00,19.52,19.41,19.52,19.52,1017,1017,1012,72,95,4.31,333,6.37,d,804,Clouds,overcast clouds,
0,2950159,Berlin,1659497333,1659552969,1659733200,10000,0.3,2022-08-05 21:00:00,17.84,17.53,17.84,17.84,1019,1019,1014,71,98,3.74,319,7.08,n,804,Clouds,overcast clouds,
0,2950159,Berlin,1659497333,1659552969,1659744000,10000,0.13,2022-08-06 00:00:00,15.39,15.0,15.39,15.39,1021,1021,1015,77,88,3.75,304,7.65,n,804,Clouds,overcast clouds,
0,2950159,Berlin,1659497333,1659552969,1659754800,10000,0.0,2022-08-06 03:00:00,13.75,13.09,13.75,13.75,1022,1022,1017,73,80,3.47,312,8.01,n,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659765600,10000,0.0,2022-08-06 06:00:00,15.04,14.32,15.04,15.04,1024,1024,1019,66,41,3.63,309,6.84,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659776400,10000,0.0,2022-08-06 09:00:00,19.65,18.74,19.65,19.65,1025,1025,1020,41,0,4.06,303,5.23,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659787200,10000,0.0,2022-08-06 12:00:00,22.84,21.91,22.84,22.84,1024,1024,1019,28,0,3.78,303,4.63,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659798000,10000,0.0,2022-08-06 15:00:00,23.74,22.82,23.74,23.74,1023,1023,1018,25,18,3.34,312,4.01,d,801,Clouds,few clouds,
0,2950159,Berlin,1659497333,1659552969,1659808800,10000,0.0,2022-08-06 18:00:00,21.55,20.57,21.55,21.55,1023,1023,1018,31,34,2.21,305,2.84,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659819600,10000,0.0,2022-08-06 21:00:00,17.15,16.1,17.15,17.15,1024,1024,1019,45,14,2.87,14,5.82,n,801,Clouds,few clouds,
0,2950159,Berlin,1659497333,1659552969,1659830400,10000,0.0,2022-08-07 00:00:00,15.36,14.28,15.36,15.36,1025,1025,1020,51,12,2.62,63,4.86,n,801,Clouds,few clouds,
0,2950159,Berlin,1659497333,1659552969,1659841200,10000,0.0,2022-08-07 03:00:00,14.08,12.95,14.08,14.08,1025,1025,1019,54,21,1.91,88,3.18,n,801,Clouds,few clouds,
0,2950159,Berlin,1659497333,1659552969,1659852000,10000,0.0,2022-08-07 06:00:00,16.19,15.12,16.19,16.19,1025,1025,1020,48,39,1.56,120,2.35,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659862800,10000,0.0,2022-08-07 09:00:00,21.92,21.11,21.92,21.92,1025,1025,1020,36,52,0.62,259,0.94,d,803,Clouds,broken clouds,
0,2950159,Berlin,1659497333,1659552969,1659873600,10000,0.0,2022-08-07 12:00:00,24.35,23.52,24.35,24.35,1023,1023,1018,26,28,2.32,302,2.63,d,802,Clouds,scattered clouds,
0,2950159,Berlin,1659497333,1659552969,1659884400,10000,0.0,2022-08-07 15:00:00,24.99,24.2,24.99,24.99,1022,1022,1017,25,2,3.02,317,3.37,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659895200,10000,0.0,2022-08-07 18:00:00,22.53,21.65,22.53,22.53,1022,1022,1017,31,2,3.37,346,4.11,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659906000,10000,0.0,2022-08-07 21:00:00,18.19,17.34,18.19,18.19,1023,1023,1018,49,0,3.43,39,7.24,n,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659916800,10000,0.0,2022-08-08 00:00:00,16.01,15.23,16.01,16.01,1024,1024,1019,60,1,2.8,54,5.58,n,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659927600,10000,0.0,2022-08-08 03:00:00,15.09,14.27,15.09,15.09,1024,1024,1019,62,13,1.59,70,2.68,n,801,Clouds,few clouds,
0,2950159,Berlin,1659497333,1659552969,1659938400,10000,0.0,2022-08-08 06:00:00,17.74,16.95,17.74,17.74,1025,1025,1020,53,8,1.58,32,2.09,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659949200,10000,0.0,2022-08-08 09:00:00,22.69,22.11,22.69,22.69,1025,1025,1020,42,1,1.92,6,2.21,d,800,Clear,clear sky,
0,2950159,Berlin,1659497333,1659552969,1659960000,10000,0.0,2022-08-08 12:00:00,25.85,25.38,25.85,25.85,1024,1024,1019,34,4,2.23,5,2.52,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659538800,10000,0.0,2022-08-03 15:00:00,26.65,26.65,26.22,26.65,1012,1012,1009,62,75,5.38,262,8.13,d,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659549600,10000,0.0,2022-08-03 18:00:00,26.48,26.48,26.15,26.48,1012,1012,1008,58,81,4.27,255,7.04,d,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659560400,10000,0.0,2022-08-03 21:00:00,24.33,24.25,23.17,24.33,1012,1012,1009,55,76,3.5,278,5.75,n,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659571200,10000,0.0,2022-08-04 00:00:00,19.29,18.68,19.29,19.29,1013,1013,1010,54,57,3.25,284,6.99,n,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659582000,10000,0.0,2022-08-04 03:00:00,16.85,16.31,16.85,16.85,1013,1013,1010,66,83,2.86,286,5.13,n,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659592800,10000,0.0,2022-08-04 06:00:00,16.65,16.22,16.65,16.65,1014,1014,1011,71,59,2.64,286,4.58,d,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659603600,10000,0.0,2022-08-04 09:00:00,20.82,20.32,20.82,20.82,1015,1015,1012,52,38,3.09,295,4.05,d,802,Clouds,scattered clouds,
0,2643743,London,1659500819,1659555980,1659614400,10000,0.0,2022-08-04 12:00:00,24.13,23.56,24.13,24.13,1015,1015,1012,37,68,2.92,309,3.69,d,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659625200,10000,0.0,2022-08-04 15:00:00,25.86,25.26,25.86,25.86,1015,1015,1012,29,100,3.08,316,3.27,d,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659636000,10000,0.0,2022-08-04 18:00:00,22.62,21.96,22.62,22.62,1016,1016,1013,39,100,4.55,353,5.02,d,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659646800,10000,0.0,2022-08-04 21:00:00,20.54,19.62,20.54,20.54,1017,1017,1014,37,100,4.37,358,6.83,n,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659657600,10000,0.0,2022-08-05 00:00:00,17.57,16.53,17.57,17.57,1018,1018,1015,44,99,5.05,360,9.54,n,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659668400,10000,0.0,2022-08-05 03:00:00,15.63,14.48,15.63,15.63,1019,1019,1016,47,100,4.61,3,7.85,n,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659679200,10000,0.0,2022-08-05 06:00:00,14.72,13.66,14.72,14.72,1021,1021,1017,54,97,4.35,355,7.68,d,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659690000,10000,0.0,2022-08-05 09:00:00,17.81,16.77,17.81,17.81,1022,1022,1019,43,99,3.93,344,5.28,d,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659700800,10000,0.0,2022-08-05 12:00:00,21.26,20.28,21.26,21.26,1022,1022,1019,32,83,3.09,324,4.94,d,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659711600,10000,0.0,2022-08-05 15:00:00,23.32,22.33,23.32,23.32,1022,1022,1019,24,6,3.01,318,4.94,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659722400,10000,0.0,2022-08-05 18:00:00,21.75,20.74,21.75,21.75,1023,1023,1020,29,7,5.66,358,5.08,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659733200,10000,0.0,2022-08-05 21:00:00,18.72,17.56,18.72,18.72,1025,1025,1022,35,1,3.49,15,6.52,n,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659744000,10000,0.0,2022-08-06 00:00:00,16.05,14.83,16.05,16.05,1027,1027,1024,43,2,2.73,4,6.15,n,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659754800,10000,0.0,2022-08-06 03:00:00,14.18,13.04,14.18,14.18,1028,1028,1024,53,81,2.65,10,5.28,n,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659765600,10000,0.0,2022-08-06 06:00:00,14.22,13.16,14.22,14.22,1028,1028,1025,56,53,2.01,358,3.28,d,803,Clouds,broken clouds,
0,2643743,London,1659500819,1659555980,1659776400,10000,0.0,2022-08-06 09:00:00,18.84,17.72,18.84,18.84,1028,1028,1025,36,6,2.0,341,2.21,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659787200,10000,0.0,2022-08-06 12:00:00,22.9,21.85,22.9,22.9,1027,1027,1024,23,14,2.0,349,2.49,d,801,Clouds,few clouds,
0,2643743,London,1659500819,1659555980,1659798000,10000,0.0,2022-08-06 15:00:00,25.02,24.1,25.02,25.02,1026,1026,1023,20,10,1.97,354,2.67,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659808800,10000,0.0,2022-08-06 18:00:00,24.53,23.61,24.53,24.53,1025,1025,1022,22,11,2.33,10,2.72,d,801,Clouds,few clouds,
0,2643743,London,1659500819,1659555980,1659819600,10000,0.0,2022-08-06 21:00:00,19.75,18.8,19.75,19.75,1026,1026,1023,39,12,2.72,107,5.29,n,801,Clouds,few clouds,
0,2643743,London,1659500819,1659555980,1659830400,10000,0.0,2022-08-07 00:00:00,17.41,16.51,17.41,17.41,1026,1026,1023,50,43,1.68,164,2.79,n,802,Clouds,scattered clouds,
0,2643743,London,1659500819,1659555980,1659841200,10000,0.0,2022-08-07 03:00:00,16.8,15.89,16.8,16.8,1026,1026,1023,52,100,0.28,51,0.6,n,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659852000,10000,0.0,2022-08-07 06:00:00,16.96,16.07,16.96,16.96,1026,1026,1023,52,86,1.43,17,2.03,d,804,Clouds,overcast clouds,
0,2643743,London,1659500819,1659555980,1659862800,10000,0.0,2022-08-07 09:00:00,20.95,20.2,20.95,20.95,1026,1026,1023,42,5,2.2,13,2.52,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659873600,10000,0.0,2022-08-07 12:00:00,25.17,24.53,25.17,25.17,1025,1025,1022,30,5,2.13,16,2.86,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659884400,10000,0.0,2022-08-07 15:00:00,27.55,26.49,27.55,27.55,1023,1023,1020,22,15,2.3,24,3.11,d,801,Clouds,few clouds,
0,2643743,London,1659500819,1659555980,1659895200,10000,0.0,2022-08-07 18:00:00,25.78,25.12,25.78,25.78,1023,1023,1020,27,11,3.66,75,4.0,d,801,Clouds,few clouds,
0,2643743,London,1659500819,1659555980,1659906000,10000,0.0,2022-08-07 21:00:00,19.77,19.19,19.77,19.77,1024,1024,1021,53,2,3.64,105,6.29,n,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659916800,10000,0.0,2022-08-08 00:00:00,18.51,17.98,18.51,18.51,1024,1024,1021,60,1,1.98,79,5.42,n,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659927600,10000,0.0,2022-08-08 03:00:00,17.12,16.51,17.12,17.12,1024,1024,1021,62,1,2.34,38,5.57,n,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659938400,10000,0.0,2022-08-08 06:00:00,17.06,16.47,17.06,17.06,1025,1025,1021,63,3,2.99,59,6.31,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659949200,10000,0.0,2022-08-08 09:00:00,22.25,21.55,22.25,22.25,1024,1024,1021,39,9,3.41,65,5.05,d,800,Clear,clear sky,
0,2643743,London,1659500819,1659555980,1659960000,10000,0.0,2022-08-08 12:00:00,26.34,26.34,26.34,26.34,1023,1023,1020,32,11,4.5,90,5.4,d,801,Clouds,few clouds,
0,5128581,New York,1659520473,1659571787,1659538800,10000,0.0,2022-08-03 15:00:00,26.42,26.42,26.42,28.76,1016,1016,1015,62,0,1.87,251,2.82,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659549600,10000,0.0,2022-08-03 18:00:00,28.29,28.98,28.29,32.02,1016,1016,1014,52,0,3.49,207,4.46,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659560400,10000,0.0,2022-08-03 21:00:00,29.41,29.69,29.41,30.9,1015,1015,1014,46,0,5.07,185,5.95,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659571200,10000,0.0,2022-08-04 00:00:00,27.3,28.64,27.3,27.3,1014,1014,1014,62,0,5.63,169,7.69,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659582000,10000,0.0,2022-08-04 03:00:00,26.53,26.53,26.53,26.53,1016,1016,1015,69,0,3.15,190,5.04,n,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659592800,10000,0.0,2022-08-04 06:00:00,26.13,26.13,26.13,26.13,1017,1017,1016,60,0,2.84,226,6.34,n,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659603600,10000,0.0,2022-08-04 09:00:00,24.85,25.17,24.85,24.85,1016,1016,1016,68,0,2.18,207,5.37,n,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659614400,10000,0.0,2022-08-04 12:00:00,26.23,26.23,26.23,26.23,1018,1018,1017,66,0,2.03,213,3.2,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659625200,10000,0.0,2022-08-04 15:00:00,30.6,31.97,30.6,30.6,1018,1018,1017,50,0,3.1,177,4.2,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659636000,10000,0.0,2022-08-04 18:00:00,32.9,34.53,32.9,32.9,1017,1017,1016,44,0,5.0,157,5.66,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659646800,10000,0.0,2022-08-04 21:00:00,31.29,33.53,31.29,31.29,1016,1016,1015,52,5,7.18,157,8.72,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659657600,10000,0.0,2022-08-05 00:00:00,28.14,31.08,28.14,28.14,1016,1016,1016,71,4,7.37,165,12.08,d,800,Clear,clear sky,
0,5128581,New York,1659520473,1659571787,1659668400,10000,0.86,2022-08-05 03:00:00,27.32,29.71,27.32,27.32,1018,1018,1017,73,7,5.76,192,10.9,n,500,Rain,light rain,0.13
0,5128581,New York,1659520473,1659571787,1659679200,10000,0.9,2022-08-05 06:00:00,26.61,26.61,26.61,26.61,1017,1017,1017,76,24,1.1,265,1.68,n,500,Rain,light rain,0.39
0,5128581,New York,1659520473,1659571787,1659690000,10000,0.0,2022-08-05 09:00:00,25.79,26.41,25.79,25.79,1018,1018,1018,76,77,2.32,234,3.82,n,803,Clouds,broken clouds,
0,5128581,New York,1659520473,1659571787,1659700800,10000,0.0,2022-08-05 12:00:00,26.94,28.52,26.94,26.94,1019,1019,1019,67,69,2.42,270,3.57,d,803,Clouds,broken clouds,
0,5128581,New York,1659520473,1659571787,1659711600,10000,0.0,2022-08-05 15:00:00,27.23,28.71,27.23,27.23,1021,1021,1020,64,99,2.44,253,3.23,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659722400,10000,0.28,2022-08-05 18:00:00,32.2,34.02,32.2,32.2,1020,1020,1019,47,92,3.43,183,5.27,d,500,Rain,light rain,0.33
0,5128581,New York,1659520473,1659571787,1659733200,10000,0.4,2022-08-05 21:00:00,30.89,33.68,30.89,30.89,1019,1019,1018,56,100,5.49,157,5.69,d,500,Rain,light rain,0.13
0,5128581,New York,1659520473,1659571787,1659744000,10000,0.16,2022-08-06 00:00:00,28.64,31.47,28.64,28.64,1019,1019,1019,67,100,4.38,166,5.72,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659754800,7591,0.94,2022-08-06 03:00:00,25.17,26.04,25.17,25.17,1020,1020,1020,88,93,4.99,297,7.07,n,501,Rain,moderate rain,4.84
0,5128581,New York,1659520473,1659571787,1659765600,10000,1.0,2022-08-06 06:00:00,25.28,26.16,25.28,25.28,1021,1021,1020,88,96,2.54,251,5.11,n,501,Rain,moderate rain,3.9
0,5128581,New York,1659520473,1659571787,1659776400,10000,0.45,2022-08-06 09:00:00,24.43,25.17,24.43,24.43,1021,1021,1021,86,100,3.47,234,6.3,n,500,Rain,light rain,0.84
0,5128581,New York,1659520473,1659571787,1659787200,10000,0.38,2022-08-06 12:00:00,24.58,25.13,24.58,24.58,1022,1022,1022,78,100,3.43,248,5.54,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659798000,10000,0.0,2022-08-06 15:00:00,28.67,30.35,28.67,28.67,1022,1022,1022,59,78,3.61,226,5.3,d,803,Clouds,broken clouds,
0,5128581,New York,1659520473,1659571787,1659808800,10000,0.0,2022-08-06 18:00:00,29.84,31.62,29.84,29.84,1021,1021,1021,55,88,4.39,230,6.05,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659819600,10000,0.0,2022-08-06 21:00:00,27.6,29.17,27.6,27.6,1021,1021,1020,63,99,2.74,231,5.04,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659830400,10000,0.4,2022-08-07 00:00:00,27.47,29.07,27.47,27.47,1021,1021,1020,64,93,1.88,184,3.07,d,500,Rain,light rain,0.3
0,5128581,New York,1659520473,1659571787,1659841200,10000,0.87,2022-08-07 03:00:00,25.48,26.28,25.48,25.48,1022,1022,1021,84,98,2.59,183,5.79,n,500,Rain,light rain,2.93
0,5128581,New York,1659520473,1659571787,1659852000,6781,0.86,2022-08-07 06:00:00,23.94,24.74,23.94,23.94,1022,1022,1021,90,99,4.05,219,8.43,n,500,Rain,light rain,2.56
0,5128581,New York,1659520473,1659571787,1659862800,10000,0.27,2022-08-07 09:00:00,23.99,24.82,23.99,23.99,1021,1021,1020,91,100,3.07,223,7.75,n,500,Rain,light rain,0.54
0,5128581,New York,1659520473,1659571787,1659873600,10000,0.31,2022-08-07 12:00:00,24.53,25.23,24.53,24.53,1022,1022,1021,84,100,3.37,225,8.27,d,500,Rain,light rain,0.41
0,5128581,New York,1659520473,1659571787,1659884400,10000,0.42,2022-08-07 15:00:00,24.36,25.07,24.36,24.36,1021,1021,1021,85,100,2.84,222,5.93,d,500,Rain,light rain,0.6
0,5128581,New York,1659520473,1659571787,1659895200,10000,0.38,2022-08-07 18:00:00,29.48,32.41,29.48,29.48,1020,1020,1019,63,91,4.72,207,7.1,d,500,Rain,light rain,0.18
0,5128581,New York,1659520473,1659571787,1659906000,10000,0.07,2022-08-07 21:00:00,31.35,34.33,31.35,31.35,1017,1017,1017,55,100,4.49,191,7.69,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659916800,10000,0.07,2022-08-08 00:00:00,29.34,32.32,29.34,29.34,1017,1017,1017,64,99,2.35,200,4.21,d,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659927600,10000,0.57,2022-08-08 03:00:00,27.57,30.2,27.57,27.57,1018,1018,1017,73,66,4.04,222,9.81,n,500,Rain,light rain,0.47
0,5128581,New York,1659520473,1659571787,1659938400,10000,0.68,2022-08-08 06:00:00,26.32,26.32,26.32,26.32,1017,1017,1017,78,83,3.52,224,8.97,n,500,Rain,light rain,0.17
0,5128581,New York,1659520473,1659571787,1659949200,10000,0.01,2022-08-08 09:00:00,25.28,26.03,25.28,25.28,1016,1016,1016,83,91,3.7,224,9.69,n,804,Clouds,overcast clouds,
0,5128581,New York,1659520473,1659571787,1659960000,10000,0.0,2022-08-08 12:00:00,26.32,26.32,26.32,26.32,1016,1016,1016,70,93,5.04,236,9.65,d,804,Clouds,overcast clouds,
